作品ID	作品名	姓	名	文字遣い種別	分類番号	テキストファイルURL	順位スコア
000602	白い雌鷄の行方	水野	仙子	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000112/files/602_ruby_22665.zip	0
000603	嘘をつく日	水野	仙子	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000112/files/603_ruby_22626.zip	0
000605	モルグ街の殺人事件	佐々木	直次郎	新字新仮名	NDC 933	https://www.aozora.gr.jp/cards/000094/files/605_ruby_20933.zip	59774
000610	虫干し	鷹野	つぎ	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000116/files/610_ruby_20956.zip	0
000613	長塚節歌集	長塚	節	旧字旧仮名	NDC 911	https://www.aozora.gr.jp/cards/000118/files/613_ruby_1982.zip	0
000614	長塚節歌集	長塚	節	旧字旧仮名	NDC 911	https://www.aozora.gr.jp/cards/000118/files/614_ruby_1985.zip	0
000615	長塚節歌集	長塚	節	旧字旧仮名	NDC 911	https://www.aozora.gr.jp/cards/000118/files/615_ruby_1988.zip	0
000616	長塚節句集	長塚	節	旧字旧仮名	NDC 911	https://www.aozora.gr.jp/cards/000118/files/616_ruby_1991.zip	0
000617	悟浄歎異	中島	敦	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000119/files/617_ruby_1485.zip	3388
000618	狐憑	中島	敦	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000119/files/618_ruby_2379.zip	322
000620	名人伝	中島	敦	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000119/files/620_ruby_657.zip	274
000621	名人伝	中島	敦	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000119/files/621_ruby_661.zip	21371
000622	文字禍	中島	敦	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000119/files/622_ruby_14496.zip	14085
000623	山月記	中島	敦	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000119/files/623_ruby_18352.zip	47377
000624	山月記	中島	敦	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000119/files/624_ruby_5668.zip	66159
000626	南蛮寺門前	木下	杢太郎	新字旧仮名	NDC 911 912	https://www.aozora.gr.jp/cards/000120/files/626_ruby_6075.zip	0
000627	赤い蝋燭	新美	南吉	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000121/files/627_ruby_4098.zip	2339
000628	ごん狐	新美	南吉	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000121/files/628_ruby_649.zip	56649
000629	ごんごろ鐘	新美	南吉	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000121/files/629_ruby_34385.zip	0
000635	おじいさんのランプ	新美	南吉	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000121/files/635_ruby_4097.zip	6082
000637	手袋を買いに	新美	南吉	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000121/files/637_ruby_4095.zip	42026
000641	猫町	萩原	朔太郎	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000067/files/641_ruby_21646.zip	1527
000642	猫又先生	南部	修太郎	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000048/files/642_ruby_21366.zip	0
000644	日本山岳景の特色	小島	烏水	新字新仮名	NDC 291 914	https://www.aozora.gr.jp/cards/000027/files/644_ruby_2491.zip	0
000646	二銭銅貨	黒島	伝治	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000037/files/646_ruby_4385.zip	279
000647	野菊の墓	伊藤	左千夫	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000058/files/647_ruby_20405.zip	39399
000649	女盗	南部	修太郎	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000048/files/649_ruby.zip	0
000651	小熊秀雄全集-01	小熊	秀雄	新字旧仮名	NDC 911	https://www.aozora.gr.jp/cards/000124/files/651_ruby.zip	0
000652	小熊秀雄全集-10	小熊	秀雄	新字旧仮名	NDC 911	https://www.aozora.gr.jp/cards/000124/files/652_ruby.zip	0
